comment,comment_time,topic_title,comment_id,topic_starttime,topic_views,topic_url,topic_replies,topic_id,comment_user,topic_starter,topic_lastaction,topic_description
"Dear All, Anyone having performance issue on downloading app update on Unifi ? The slowsness is like 10kb/sec Connected to YES / Celcom 4G all no issue - only Unifi. Anyone facing the same issue? Regards",2016-07-27T22:36:00,Itunes Update in iDevice Slow,80996055,2016-07-27T22:36:00,975,https://forum.lowyat.net/topic/4014964,21,4014964,seanswn,seanswn,2016-08-04T19:11:00,Only in Unifi
try to reboot your modem and router ?,2016-07-28T00:53:00,Itunes Update in iDevice Slow,80997771,2016-07-27T22:36:00,975,https://forum.lowyat.net/topic/4014964,21,4014964,INGfusion,seanswn,2016-08-04T19:11:00,Only in Unifi
me facing the same issue... by use Streamyx download 60mb item need 4 hours.... my Streamyx speed was 8mb,2016-07-28T10:02:00,Itunes Update in iDevice Slow,81000426,2016-07-27T22:36:00,975,https://forum.lowyat.net/topic/4014964,21,4014964,F_F@PANG,seanswn,2016-08-04T19:11:00,Only in Unifi
itunes downloading marvel future fight which is only ~500+mb expected to take 8 hours..and I'm on 100Mbps. kek,2016-07-28T10:06:00,Itunes Update in iDevice Slow,81000510,2016-07-27T22:36:00,975,https://forum.lowyat.net/topic/4014964,21,4014964,nyunyu,seanswn,2016-08-04T19:11:00,Only in Unifi
anybody got solve solutions for the matter... thx,2016-07-28T10:31:00,Itunes Update in iDevice Slow,81000963,2016-07-27T22:36:00,975,https://forum.lowyat.net/topic/4014964,21,4014964,F_F@PANG,seanswn,2016-08-04T19:11:00,Only in Unifi
TM boycott apple?? been tried to download iTunes updates for days....slow like snails and almost none of it get downloaded....,2016-07-28T20:41:00,Itunes Update in iDevice Slow,81011781,2016-07-27T22:36:00,975,https://forum.lowyat.net/topic/4014964,21,4014964,dinozilla,seanswn,2016-08-04T19:11:00,Only in Unifi
"Yep same issue here. It's taking me 6 days to download a 2GB software update lol If you guys are on your iphone or iPad. One solution is to download Opera VPN and connect to SG, your speed will be as fast as normal",2016-07-28T20:47:00,Itunes Update in iDevice Slow,81011849,2016-07-27T22:36:00,975,https://forum.lowyat.net/topic/4014964,21,4014964,remix2040,seanswn,2016-08-04T19:11:00,Only in Unifi
"On maxis fibre and 4G no issues whatsoever, blazing.....",2016-07-29T12:15:00,Itunes Update in iDevice Slow,81020099,2016-07-27T22:36:00,975,https://forum.lowyat.net/topic/4014964,21,4014964,jumpstat,seanswn,2016-08-04T19:11:00,Only in Unifi
Already tweeted tm 5 days ago. Until now they are still trying to resolve it.,2016-07-29T18:49:00,Itunes Update in iDevice Slow,81026408,2016-07-27T22:36:00,975,https://forum.lowyat.net/topic/4014964,21,4014964,fnarkaizho,seanswn,2016-08-04T19:11:00,Only in Unifi
This is ridiculous. Can't stream Apple Music either!,2016-07-29T21:35:00,Itunes Update in iDevice Slow,81028196,2016-07-27T22:36:00,975,https://forum.lowyat.net/topic/4014964,21,4014964,Darth Vaper,seanswn,2016-08-04T19:11:00,Only in Unifi
