postcode,reviewer,post_date,review_comments,name,reviewer_origin,country,review_title,city,scrapday,score,streetaddr
59200,jicby2,2016-10-04,"I've stayed numerous times at their sister (and much cheaper) hotel, Cititel Mid Valley however for the higher price I paid at Boulevard, I was expecting a much nicer room. The carpets throughout the hotel was very old and stained. The carpet in my room wasn't that much better and was all crinkly. The general amenities and cleanliness of the hotel was fine and the location on top of a large shopping mall was very convenient. It is such a shame it is let down by the overall tired feeling - for a hotel that looks fairly busy you'd think they'd understand the value of a refresh every 5 years or so to keep the place looking in tiptop condition.I'd rather much save the extra money and stay at Cititel, at least then I could justify the price for staying in an older decor. Their customer service was very good so can't fault them on that.",The Boulevard-St Giles Premier Hotel,"Sydney, New South Wales, Australia",Malaysia,Great location but dated looking decor,Kuala Lumpur,2016/10/08 22:15:25,3,Mid Valley Expressway
59200,Frenchbd,2016-10-01,"The hotel is an old 1980s Fit-out in desperate need of an update. The beds are hard, the furniture is old and very dated and the carpet is worn, faded, has iron burn marks on it and is very tired. The hotel car transfer I organized apparently broke down and they couldn't find a replacement. I ended up getting a taxi however they still tried to charge me and I was told I didn't show up! Then on departure the reception organized a car for 4am rather than 4pm. I was woken at 4am asking me why I hadn't checked out. Finally when I went to catch the car at 4pm I was greeted by a taxi, not a hire car!! I don't know why I paid extra for a cab that I could have simply got off the street. The entire experience was very disappointing.",The Boulevard-St Giles Premier Hotel,"Sydney, Australia",Malaysia,Old and tired. Hotel transfers were terrible,Kuala Lumpur,2016/10/08 22:15:25,2,Mid Valley Expressway
59200,PubuduA,2016-09-26,I stayed at this hotel when I came to KL for an IT training.Stayed at this hotel for 6 days.Overall this is a very nice hotel with friendly staff who looked in to guest needs well.Rooms were nice and spacious and I should give special recognition to house keeping team as they did a great job in room cleaning and service.I stayed with BB and breakfast were tasty and good in quality but unfortunately variation of food was very little and needs improvement.This hotel has a nice little pool and you can enjoy and relax.One thing I was disappointed was in-room WIFI which was not working from the day one.No signals at all and I informed to hotel staff but one guy came and checked and saidentire floor area(17th floor) seems to having an signal drop and will inform relevant division.But disappointing to say that it never got fixed :(.So management needs to check on this issue as it was a very trouble to me during the stay.This hotel is situated very near to the midvalley shopping mall and other shopping/business areas and train/bus services are also near.It will take around 45 mins drive to KL international airport.Overall I happy with my stay at this hotel.,The Boulevard-St Giles Premier Hotel,"Negombo, Sri Lanka",Malaysia,Nice stay in KL,Kuala Lumpur,2016/10/08 22:15:25,4,Mid Valley Expressway
59200,Alan T,2016-09-18,"I've been to boulevard several times in the last decade so we decided to stay there again when we went to visit. We ordered one of the executive suites as we were travelling with a child and needed another bed. The evecutive lounge (no children under 12) was nice and my wife enjoyed a nice breakfast while 3 year old and I had breakfast in the wild rice restaurant. The size of the room was good and easily fit another small single bed which is what we wanted. Also the fact it was so convenient to the mall was a huge bonus. The room was starting to become a bit tired tho, with large brown marks on the blue carpet in some spaces so its definitely due for renovations and the curtains had dark stains as well. Otherwise the facilities like the gym were relatively well maintained.",The Boulevard-St Giles Premier Hotel,,Malaysia,Nice but a bit old,Kuala Lumpur,2016/10/08 22:15:25,3,Mid Valley Expressway
59200,miyu_lin,2016-09-17,"I've been staying this hotel for more than 3 time since 2014. Clean and nice hotel. Just few steps to the Mid Valley Megamal and the Gardens. Convinient to travel from this hotel, bus, taxi, ktm is in walking distance. Now the wifi can connect more than 2 devices. Just the shower should changed to normal round kind of hand shower.",The Boulevard-St Giles Premier Hotel,,Malaysia,Been here few times and will come back,Kuala Lumpur,2016/10/08 22:15:25,4,Mid Valley Expressway
59200,TonnisGinting,2016-09-15,"I like its location sooo much, just need to slip from sideways of lobby elevator and... voila... I can either killing or enjoy my times in the huge of shopping mall... in particular the chance to try a different local food every time without being worry of the prices :-)Always pick a smoking room for me so I don't need the ""Super Luxury with good view"" one. No big complaint for Internet connection, just send a silly request to hotel management to consider upgrading the room TV. well, while working to prepare the biz presentation in the late of night, both listening and watching my mp4 favo music via TV USB port seems could intensify my energy... :-)The food are not bad; feel good the breakfast at the smoking area near the pool.Enjoy the courtesy.",The Boulevard-St Giles Premier Hotel,Singapore,Malaysia,My 2nd times stayed in Boulevard-St Giles Premier Hotel Kuala Lumpur,Kuala Lumpur,2016/10/08 22:15:26,3,Mid Valley Expressway
59200,cuties3x,2016-09-14,"Like the environment, location very nice can get to go mid valley and the garden.My husband is their regular customer for business trip, and they free upgrade us to their junior suite.will definitely come back again for Xmas shopping...:)",The Boulevard-St Giles Premier Hotel,"Johor Bahru, Malaysia",Malaysia,"Friendly staff, great location",Kuala Lumpur,2016/10/08 22:15:26,5,Mid Valley Expressway
59200,corsiva,2016-09-12,"Was waiting for a short while waiting to be check in due to peak season - something pretty common. To our suprise to see that the management team had set their benchmark higher than our expectations when we saw this souvenirs as a token of apology due to the small hiccup earlier. Hotel was linked to the shopping malls with plenty of entertainment with wide variety of nearby rastaurants. We are certainly spoilt of choices. Definitely recommend if you are looking for a ""one-stop"" hotel with good service with self-sustained entertainment during your short vocation in KL.",The Boulevard-St Giles Premier Hotel,"Singapore, Singapore",Malaysia,"Friendly staff, great location, good service",Kuala Lumpur,2016/10/08 22:15:26,5,Mid Valley Expressway
59200,crawfie,2016-09-11,"The Boulevard is a large business type hotel, adjoining the Mega Mall of KL. The reception area is very bright and marble, but the rooms are clean but no frills. Bottled water and free internet are provided. The beds are comfortable, but the rooms are poor for sound deadening. There is a good Gym and the pool is of a good size. Breakfasts are typical of far East hotels, with Western and local choices. Maintenance is suspect, and my first room had a flood through the ceiling on day 2. Getting a replacement room was difficult due to the intransigence of the staff, who were less than typical of most of my far East experience. I was first offered a twin room, and then an upgrade to the 28th floor, at a cost. I pointed out the problem was of the hotels making, and they eventually relented on the cost! The upgraded room was identical to the previous one, but had a chocolate bar and a couple of fruit drinks. It did allow access to the executive lounge which was very good, with complimentary snacks / drinks in the early evening. There is a railway station nearby for KL, but the service is at best 2 an hour. Overall, fit for purpose.",The Boulevard-St Giles Premier Hotel,"Aberdeen, United Kingdom",Malaysia,A reasonable business hotel,Kuala Lumpur,2016/10/08 22:15:26,3,Mid Valley Expressway
59200,JeanWN,2016-09-10,"We've chosen this hotel time n time again, mainly for its location location location. Eat, shop and eat some more in relative safety. Noted some good changes.  Wifi is really good even in the rooms. Booster (or what appears to be) in room means no more glitchy knock-u-off wifi flow. I was elated!  Comfortable, clean rooms and great views if u get high floor. Non smoking my choice, I can breathe  not enough electric sources. Found one under my bedside table. Almost twisted my back to get to it, gave up.  Great checkin person. Great smile n very welcoming.  Could use better toilet paper, like the one we had in Sri Lankan Heritage chain, Kandulama and Tea Factory, Nuwara Eliya. Best TP in the world. Overall, in the famous last words of the bodybuilder former Gov of CA, ""I'll be back!""",The Boulevard-St Giles Premier Hotel,"Singapore, Singapore",Malaysia,Our fav KUL Stop Off,Kuala Lumpur,2016/10/08 22:15:26,4,Mid Valley Expressway
