city,review_title,reviewer,reviewer_origin,scrapday,postcode,streetaddr,post_date,country,review_comments,score,name
Kuala Lumpur,Toilet Leaking ... Front Desk Misleading,Wong2080,"Penang Island, Malaysia",2016/10/08 22:16:45,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-10-06,Malaysia,"Stayed 4 nites in August 2016 :Three Complaints : 1. Shower Cubicle water leaking into Toilet floor : Water seeps up from beneath the floor tiles and flood the entire toilet floor after each shower. This shows that House Keeping did not check + wash the Shower area, as they would have seen the leaks if they had washed the shower daily. 2. Misleading Car Parking Info given by Front Desk : 1st Staff told me there is ONLY ONE Complimentary car bay allocated for hotel guests and it is always taken, hence i parked at the Mall and paid RM5 per entry basis to avoid wasting time hoping for that One Bay. 2nd Staff told me we can park in any of the many Complimentary bays within the hotel parking section 3rd Staff told me to just insert my Parking Ticket into the Exit Arm Reader without informing me that i have to first Validate my ticket into the Auto Park Machine hidden away at the Basement Lift Lobby Corner, resulting in me stucked at the Exit Reader. Can you please have a consistent SOP on Parking to stop all confusions to your Guests, you can put all these Info on a Note for Guests Parking inside the Rooms and also pass one to the Guests upon their Enquiries on Parking at the Front Desk. 3. Hotel Feedback via Email : There is a Note in the Room requesting for Guests Feedback via Email. Upon checkout, nobody requested for my Email to send the Feedback Form to me. This speaks volume on your Hotel S.O.PAs there is no Feedback Form given upon checkout, this is the only way to inform you.",3,Cititel Mid Valley
Kuala Lumpur,Save your Shopping Money,andisturbia,"Jakarta, Indonesia",2016/10/08 22:16:45,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-10-05,Malaysia,"I think this hotel is the cheapest in the Mid Valley area (there are 2 other hotels (cmiiw)). If you want to shop in Mid Valley and (or) The Gardens area, this hotel is the best way to save your shopping money. The room is so small for its class. Be careful to stay here if you are fat, the shower room maybe is not enough for you since it is really really small. The shower itself is awesome and strong, though.The breakfast is good. not awesome, just good. better add the food variations. the mashed potatoes is yummy, though.",3,Cititel Mid Valley
Kuala Lumpur,Basic and simple,HemiSemi L,,2016/10/08 22:16:45,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-10-03,Malaysia,"The stay in this hotel is only perfect for a one-day seminar in KL or a one-day trip to Mid Valley for individual who loves staying in the hotel. The room and bathroom are clean but small. Designs are not outdated. Therefore, the feeling is alright. Not amazed but not complaining as well. Shopping is convenient as it is connected to Mid Valley mall.",3,Cititel Mid Valley
Kuala Lumpur,"Re: Hotel needs renovation, furnishing is outdated",Belinda O,,2016/10/08 22:16:45,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-09-27,Malaysia,The hotel room is small with very little space for luggages. The furnishing looks old and outdated. The stand up shower is small with no space to maneuver. The hot water wasn't working properly. The shower is not very clean either. The only advantage is their location. The hotel is attached to a mall with great shops. The mall has restaurants that served varieties of food. I will not return to stay in this hotel.,3,Cititel Mid Valley
Kuala Lumpur,My favorite hotel in Midvalley.,honey_mel,Malaysia,2016/10/08 22:16:45,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-09-20,Malaysia,"Cititel has to be my favorite hotel when I decided to go for shopping spree at Midvalley mall. The hotel is adjacent to the mall. The parking area (free for guest) is also conveniently located one floor down the hotel. I preferred Deluxe Room, because is room is much spacious compared to the Superior Room.",4,Cititel Mid Valley
Kuala Lumpur,Small room ....,Julian F,,2016/10/08 22:16:46,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-09-19,Malaysia,It's the cheapest of all 3 hotels available in the mid valley mega mall complex..The rooms are small but good enough for 2 people.However the hot water does not come immediately and you have to run the shower a few minutes before the hot water comes on. I find this a waste of good water...imagine if every room needs to do this....twice a day per guest...Hope the hotel fixes this major flaw...,4,Cititel Mid Valley
Kuala Lumpur,Not bad location,616shah,"Bandar Seri Begawan, Brunei Darussalam",2016/10/08 22:16:46,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-09-09,Malaysia,"Stayed for 2 nights, location is okay if you dont mind away from bukit bintang. Its@mid valley. Easy access by train just one station away from kl sentral. Exit from the station you will see the building. The room is okay. I stayed in deluxe room. Easy access to mid valley megamall where you can shop till drop. Lol. Overall okay hotel",4,Cititel Mid Valley
Kuala Lumpur,Smallish hotel just for sleeping,chephrenchua,"Singapore, Singapore",2016/10/08 22:16:46,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-09-07,Malaysia,"OK breakfast spread, small hotel rooms, but great location. usually out of car park space at the hotel. On top of the most popular shopping center in Kuala Lumpur, In between the 2 major city, great for travelling in between.",3,Cititel Mid Valley
Kuala Lumpur,Good location,zaina m,,2016/10/08 22:16:46,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-09-05,Malaysia,"4 stars because it is very convenient if you are in town for a short stay.Easy access to public transport and so handy as it is situated in Mid Valley mall. The Gardens Mall is right next door for your more high end shops. Saves heaps of time waiting for cabs/catching trains if you're in KL for just a quick shopping spree (theres also a massage place in the lobby if you've got sore feet after a full day of wandering around the mall).Rooms are tiny (barely had enough space to move around with 2 suitcases in the room) but it's a good option if you're after super cheap, clean and well located accomodation. The staff are very friendly as well.Not too far from KLIA either - about 1 hour in light traffic.",4,Cititel Mid Valley
Kuala Lumpur,Good value hotel for Business traveller,Raymond_8899,"Singapore, Singapore",2016/10/08 22:16:46,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-08-30,Malaysia,"Location is near to Shopping area and KLCC.We can travel by taking a train, LRT and Monorail.Plenty of good food at mid valley mega mall.Restaurant was cater for many difference type.Night life area was nearby too.The cititel hotel room was not too big and just nice for a single or family",3,Cititel Mid Valley
Kuala Lumpur,Weekend Stay,Simply1005,Singapore,2016/10/08 22:16:48,59200,Cititel Mid Valley Lingkaran Syed Putra,2016-08-24,Malaysia,"Just stayed there over the weekend again.Checked in at around 7 pm on Saturday and checked out around 11 am on Sunday. No queues at those hours.My cousin came to pass me something on Saturday evening so I thought I can let them use the complimentary parking indicated on the check-in booklet, Even though my cousin and her husband speak Bahasa Melayu, they don't quite understand how does the complimentary parking work and didn't manage to enjoy the parking benefits. Room is ok and staff are warm and courteous.Forgot to inform the hotel about the faulty safe in the room (2707) when checking out. It showed ""Error"" when we tried to lock the safe. The time in the lifts gave us a few scare but guess no one really check the time in the lifts anyway.The hotel used to include steamed mini rice noodle roll in the breakfast spread. According to the staff at the egg counter, the hotel no longer serve that for breakfast. My sister recommended this hotel to me in part because she likes their breakfast, especially the mini rice noodle roll, croissants and kaya. Guess she will be sad to know that the mini rice noodle roll is no longer available. But the croissants and kaya are still around.",4,Cititel Mid Valley
